e0d16f274fbf84050162cd7e765d30bd,"Multistate"
s2365466,"Demonstrate understanding of word relationships and nuances in word meanings."
s114386b,"Distinguish the literal and nonliteral meanings of words and phrases in context (e.g., take steps)."
s114386c,"Identify real-life connections between words and their use (e.g., describe people who are friendly or helpful)."
s114386d,"Distinguish shades of meaning among related words that describe states of mind or degrees of certainty (e.g., knew, believed, suspected, heard, wondered)."
s114384e,"Acquire and use accurately grade-appropriate conversational, general academic, and domain-specific words and phrases, including those that signal spatial and temporal relationships (e.g., After dinner that night we went looking for them)."
s1143845,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 4 reading and content, choosing flexibly from a range of strategies."
s114386e,"Use context (e.g., definitions, examples, or restatements in text) as a clue to the meaning of a word or phrase."
s114386f,"Use common, grade-appropriate Greek and Latin affixes and roots as clues to the meaning of a word (e.g., telegraph, photograph, autograph). "
s1143871,"Consult reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation and determine or clarify the precise meaning of key words and phrases."
s2365473,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
s1143851,"Explain the meaning of simple similes and metaphors (e.g., as pretty as a picture) in context."
s1143872,"Recognize and explain the meaning of common idioms, adages, and proverbs."
s1143875,"Demonstrate understanding of words by relating them to their opposites (antonyms) and to words with similar but not identical meanings (synonyms)."
s1143850,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases, including those that signal precise actions, emotions, or states of being (e.g., quizzed, whined, stammered) and that are basic to a particular topic (e.g., wildlife, conservation, and endangered when discussing animal preservation)."
s1143846,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 5 reading and content, choosing flexibly from a range of strategies."
s1143876,"Use context (e.g., cause/effect relationships and comparisons in text) as a clue to the meaning of a word or phrase."
s1143877,"Use common, grade-appropriate Greek and Latin affixes and roots as clues to the meaning of a word (e.g., photograph, photosynthesis)."
s1143878,"Consult reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation and determine or clarify the precise meaning of key words and phrases."
s114384f,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
s1143870,"Interpret figurative language, including similes and metaphors, in context."
s2365474,"Recognize and explain the meaning of common idioms, adages, and proverbs."
s1143873,"Use the relationship between particular words (e.g., synonyms, antonyms, homographs) to better understand each of the words."
s1143852,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases, including those that signal contrast, addition, and other logical relationships (e.g., however, although, nevertheless, similarly, moreover, in addition)."
s1143899,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 6 reading and content, choosing flexibly from a range of strategies."
s114389a,"Use context (e.g., the overall meaning of a sentence or paragraph; a word's position or function in a sentence) as a clue to the meaning of a word or phrase."
s114389b,"Use common, grade-appropriate Greek or Latin affixes and roots as clues to the meaning of a word (e.g., audience, auditory, audible)."
s114389c,"Consult reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning or its part of speech."
s114389d,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary)."
s2365475,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
s114389e,"Interpret figures of speech (e.g., personification) in context."
s114389f,"Use the relationship between particular words (e.g., cause/effect, part/whole, item/category) to better understand each of the words."
s11438a0,"Distinguish among the connotations (associations) of words with similar denotations (definitions) (e.g., stingy, scrimping, economical, unwasteful, thrifty)."
s11438a7,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases; gather vocabulary knowledge when considering a word or phrase important to comprehension or expression."
s11438a8,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 7 reading and content, choosing flexibly from a range of strategies."
s11438aa,"Use context (e.g., the overall meaning of a sentence or paragraph; a word's position or function in a sentence) as a clue to the meaning of a word or phrase."
s11438ab,"Use common, grade-appropriate Greek or Latin affixes and roots as clues to the meaning of a word (e.g., belligerent, bellicose, rebel)."
s11438ac,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning or its part of speech."
s11438ad,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary)."
s2365476,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
s11438a1,"Interpret figures of speech (e.g., literary, biblical, and mythological allusions) in context."
s11438a2,"Use the relationship between particular words (e.g., synonym/antonym, analogy) to better understand each of the words."
s11438a3,"Distinguish among the connotations (associations) of words with similar denotations (definitions) (e.g., refined, respectful, polite, diplomatic, condescending)."
s2365471,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases; gather vocabulary knowledge when considering a word or phrase important to comprehension or expression."
s11438a9,"Determine or clarify the meaning of unknown and multiple-meaning words or phrases based on grade 8 reading and content, choosing flexibly from a range of strategies."
s11438ae,"Use context (e.g., the overall meaning of a sentence or paragraph; a word's position or function in a sentence) as a clue to the meaning of a word or phrase."
s11438af,"Use common, grade-appropriate Greek or Latin affixes and roots as clues to the meaning of a word (e.g., precede, recede, secede)."
s11438b0,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning or its part of speech."
s11438b1,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary)."
s2365477,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
s11438a4,"Interpret figures of speech (e.g. verbal irony, puns) in context."
s11438a5,"Use the relationship between particular words to better understand each of the words."
s11438a6,"Distinguish among the connotations (associations) of words with similar denotations (definitions) (e.g., bullheaded, willful, firm, persistent, resolute)."
s2365472,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases; gather vocabulary knowledge when considering a word or phrase important to comprehension or expression."
s11438b2,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grades 9—10 reading and content, choosing flexibly from a range of strategies."
s11438b8,"Use context (e.g., the overall meaning of a sentence, paragraph, or text; a word's position or function in a sentence) as a clue to the meaning of a word or phrase."
s11438b9,"Identify and correctly use patterns of word changes that indicate different meanings or parts of speech (e.g., analyze, analysis, analytical; advocate, advocacy)."
s11438ba,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning, its part of speech, or its etymology."
s11438bb,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary)."
s2365469,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
s11438b4,"Interpret figures of speech (e.g., euphemism, oxymoron) in context and analyze their role in the text."
s11438b5,"Analyze nuances in the meaning of words with similar denotations."
s11438b7,"Acquire and use accurately general academic and domain-specific words and phrases, sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when considering a word or phrase important to comprehension or expression."
s11438b3,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grades 11—12 reading and content, choosing flexibly from a range of strategies."
s11438bc,"Use context (e.g., the overall meaning of a sentence, paragraph, or text; a word's position or function in a sentence) as a clue to the meaning of a word or phrase."
s11438bd,"Identify and correctly use patterns of word changes that indicate different meanings or parts of speech (e.g., conceive, conception, conceivable)."
s11438be,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning, its part of speech, its etymology, or its standard usage."
s11438bf,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary)."
s2365468,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
s11438b6,"Interpret figures of speech (e.g., hyperbole, paradox) in context and analyze their role in the text."
s2365470,"Analyze nuances in the meaning of words with similar denotations."
s2365467,"Acquire and use accurately general academic and domain-specific words and phrases, sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when considering a word or phrase important to comprehension or expression."
6bb2c4d59ebc44d01e90a91b06d3befd,"Common Core Mathematics"
s2366905,"Standards for Mathematical Practice"
s2366906,"Make sense of problems and persevere in solving them."
s2366907,"Reason abstractly and quantitatively."
s2366908,"Construct viable arguments and critique the reasoning of others."
s2366909,"Model with mathematics."
s2366910,"Use appropriate tools strategically."
s2366911,"Attend to precision."
s2366912,"Look for and make use of structure."
s2366913,"Look for and express regularity in repeated reasoning."
s1143409,"Counting and Cardinality"
s114340e,"Know number names and the count sequence."
s1143417,"Count to 100 by ones and by tens."
s1143418,"Count forward beginning from a given number within the known sequence (instead of having to begin at 1)."
s1143419,"Write numbers from 0 to 20. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects)."
s114340f,"Count to tell the number of objects."
s114341a,"Understand the relationship between numbers and quantities; connect counting to cardinality."
s1143695,"When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object."
s1143696,"Understand that the last number name said tells the number of objects counted. The number of objects is the same regardless of their arrangement or the order in which they were counted."
s1143697,"Understand that each successive number name refers to a quantity that is one larger."
s114341b,"Count to answer ""how many?"" questions about as many as 20 things arranged in a line, a rectangular array, or a circle, or as many as 10 things in a scattered configuration; given a number from 1—20, count out that many objects."
s1143410,"Compare numbers."
s114341c,"Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group, e.g., by using matching and counting strategies."
s114341d,"Compare two numbers between 1 and 10 presented as written numerals."
s114340a,"Operations and Algebraic Thinking"
s1143411,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from."
s114341e,"Represent addition and subtraction with objects, fingers, mental images, drawings, sounds (e.g., claps), acting out situations, verbal explanations, expressions, or equations."
s114341f,"Solve addition and subtraction word problems, and add and subtract within 10, e.g., by using objects or drawings to represent the problem."
s1143420,"Decompose numbers less than or equal to 10 into pairs in more than one way, e.g., by using objects or drawings, and record each decomposition by a drawing or equation (e.g., 5 = 2 + 3 and 5 = 4 + 1)."
s1143421,"For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or equation."
s1143422,"Fluently add and subtract within 5."
s114342d,"Represent and solve problems involving addition and subtraction."
s1143438,"Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem."
s1143439,"Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem."
s2390245,"Represent and solve problems involving addition and subtraction."
s1143453,"Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem."
s114342e,"Understand and apply properties of operations and the relationship between addition and subtraction."
s114343a,"Apply properties of operations as strategies to add and subtract."
s114343b,"Understand subtraction as an unknown-addend problem."
s114342f,"Add and subtract within 20."
s114343c,"Relate counting to addition and subtraction (e.g., by counting on 2 to add 2)."
s114343d,"Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on; making ten (e.g., 8 + 6 = 8 + 2 + 4 = 10 + 4 = 14); decomposing a number leading to a ten (e.g., 13 - 4 = 13 - 3 - 1 = 10 - 1 = 9); using the relationship between addition and subtraction (e.g., knowing that 8 + 4 = 12, one knows 12 - 8 = 4); and creating equivalent but easier or known sums (e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1 = 13)."
s2390246,"Add and subtract within 20."
s1143454,"Fluently add and subtract within 20 using mental strategies. By end of Grade 2, know from memory all sums of two one-digit numbers."
s1143430,"Work with addition and subtraction equations."
s114343e,"Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false."
s114343f,"Determine the unknown whole number in an addition or subtraction equation relating three whole numbers."
s114344f,"Work with equal groups of objects to gain foundations for multiplication."
s1143455,"Determine whether a group of objects (up to 20) has an odd or even number of members, e.g., by pairing objects or counting them by 2s; write an equation to express an even number as a sum of two equal addends."
s1143456,"Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends."
s114346d,"Represent and solve problems involving multiplication and division."
s1143477,"Interpret products of whole numbers, e.g., interpret 5 × 7 as the total number of objects in 5 groups of 7 objects each."
s1143478,"Interpret whole-number quotients of whole numbers, e.g., interpret 56 ÷ 8 as the number of objects in each share when 56 objects are partitioned equally into 8 shares, or as a number of shares when 56 objects are partitioned into equal shares of 8 objects each."
s1143479,"Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem."
s114347a,"Determine the unknown whole number in a multiplication or division equation relating three whole numbers."
s114346e,"Understand properties of multiplication and the relationship between multiplication and division."
s114347b,"Apply properties of operations as strategies to multiply and divide. "
s114347c,"Understand division as an unknown-factor problem."
s114346f,"Multiply and divide within 100."
s114347d,"Fluently multiply and divide within 100, using strategies such as the relationship between multiplication and division (e.g., knowing that 8 × 5 = 40, one knows 40 ÷ 5 = 8) or properties of operations. By the end of Grade 3, know from memory all products of two one-digit numbers."
s1143470,"Solve problems involving the four operations, and identify and explain patterns in arithmetic."
s114347e,"Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding."
s114347f,"Identify arithmetic patterns (including patterns in the addition table or multiplication table), and explain them using properties of operations."
s1143490,"Use the four operations with whole numbers to solve problems."
s114349a,"Interpret a multiplication equation as a comparison, e.g., interpret 35 = 5 × 7 as a statement that 35 is 5 times as many as 7 and 7 times as many as 5. Represent verbal statements of multiplicative comparisons as multiplication equations."
s114349b,"Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison."
s114349c,"Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding."
s1143491,"Gain familiarity with factors and multiples."
s114349d,"Find all factor pairs for a whole number in the range 1—100. Recognize that a whole number is a multiple of each of its factors. Determine whether a given whole number in the range 1—100 is a multiple of a given one-digit number. Determine whether a given whole number in the range 1—100 is prime or composite."
s1143492,"Generate and analyze patterns."
s114349e,"Generate a number or shape pattern that follows a given rule. Identify apparent features of the pattern that were not explicit in the rule itself."
s11434b6,"Write and interpret numerical expressions."
s11434eb,"Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols."
s11434ec,"Write simple expressions that record calculations with numbers, and interpret numerical expressions without evaluating them."
s11434b7,"Analyze patterns and relationships."
s11434ed,"Generate two numerical patterns using two given rules. Identify apparent relationships between corresponding terms. Form ordered pairs consisting of corresponding terms from the two patterns, and graph the ordered pairs on a coordinate plane."
s114340b,"Number and Operations in Base Ten"
s1143412,"Work with numbers 11—19 to gain foundations for place value."
s1143423,"Compose and decompose numbers from 11 to 19 into ten ones and some further ones, e.g., by using objects or drawings, and record each composition or decomposition by a drawing or equation (e.g., 18 = 10 + 8); understand that these numbers are composed of ten ones and one, two, three, four, five, six, seven, eight, or nine ones."
s1143431,"Extend the counting sequence."
s1143440,"Count to 120, starting at any number less than 120. In this range, read and write numerals and represent a number of objects with a written numeral."
s1143432,"Understand place value."
s1143441,"Understand that the two digits of a two-digit number represent amounts of tens and ones. Understand the following as special cases:"
s2373200,"10 can be thought of as a bundle of ten ones — called a ""ten."""
s2373201,"The numbers from 11 to 19 are composed of a ten and one, two, three, four, five, six, seven, eight, or nine ones."
s2373202,"The numbers 10, 20, 30, 40, 50, 60, 70, 80, 90 refer to one, two, three, four, five, six, seven, eight, or nine tens (and 0 ones)."
s1143442,"Compare two two-digit numbers based on meanings of the tens and ones digits, recording the results of comparisons with the symbols >, =, and <."
s2390247,"Understand place value."
s1143457,"Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones; e.g., 706 equals 7 hundreds, 0 tens, and 6 ones. Understand the following as special cases:"
s2373203,"100 can be thought of as a bundle of ten tens — called a ""hundred."""
s2373204,"The numbers 100, 200, 300, 400, 500, 600, 700, 800, 900 refer to one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones)."
s1143458,"Count within 1000; skip-count by 5s, 10s, and 100s."
s1143459,"Read and write numbers to 1000 using base-ten numerals, number names, and expanded form."
s114345a,"Compare two three-digit numbers based on meanings of the hundreds, tens, and ones digits, using >, =, and < symbols to record the results of comparisons."
s1143433,"Use place value understanding and properties of operations to add and subtract."
s1143443,"Add within 100, including adding a two-digit number and a one-digit number, and adding a two-digit number and a multiple of 10, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used. Understand that in adding two-digit numbers, one adds tens and tens, ones and ones; and sometimes it is necessary to compose a ten."
s1143444,"Given a two-digit number, mentally find 10 more or 10 less than the number, without having to count; explain the reasoning used."
s1143445,"Subtract multiples of 10 in the range 10-90 from multiples of 10 in the range 10-90 (positive or zero differences), using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used."
s2390248,"Use place value understanding and properties of operations to add and subtract."
s114345b,"Fluently add and subtract within 100 using strategies based on place value, properties of operations, and/or the relationship between addition and subtraction."
s114345c,"Add up to four two-digit numbers using strategies based on place value and properties of operations."
s114345d,"Add and subtract within 1000, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method. Understand that in adding or subtracting three-digit numbers, one adds or subtracts hundreds and hundreds, tens and tens, ones and ones; and sometimes it is necessary to compose or decompose tens or hundreds."
s114345e,"Mentally add 10 or 100 to a given number 100—900, and mentally subtract 10 or 100 from a given number 100—900."
s114345f,"Explain why addition and subtraction strategies work, using place value and the properties of operations."
s1143471,"Use place value understanding and properties of operations to perform multi-digit arithmetic."
s1143480,"Use place value understanding to round whole numbers to the nearest 10 or 100."
s1143481,"Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction."
s1143482,"Multiply one-digit whole numbers by multiples of 10 in the range 10—90 (e.g., 9 × 80, 5 × 60) using strategies based on place value and properties of operations."
s2390249,"Use place value understanding and properties of operations to perform multi-digit arithmetic."
s11434a2,"Fluently add and subtract multi-digit whole numbers using the standard algorithm."
s11434a3,"Multiply a whole number of up to four digits by a one-digit whole number, and multiply two two-digit numbers, using strategies based on place value and the properties of operations. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models."
s11434a4,"Find whole-number quotients and remainders with up to four-digit dividends and one-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models."
s1143493,"Generalize place value understanding for multi-digit whole numbers."
s114349f,"Recognize that in a multi-digit whole number, a digit in one place represents ten times what it represents in the place to its right."
s11434a0,"Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons."
s11434a1,"Use place value understanding to round multi-digit whole numbers to any place."
s11434b8,"Understand the place value system."
s11434ee,"Recognize that in a multi-digit number, a digit in one place represents 10 times as much as it represents in the place to its right and 1/10 of what it represents in the place to its left."
s11434ef,"Explain patterns in the number of zeros of the product when multiplying a number by powers of 10, and explain patterns in the placement of the decimal point when a decimal is multiplied or divided by a power of 10. Use whole-number exponents to denote powers of 10."
s11434f0,"Read, write, and compare decimals to thousandths."
s1143698,"Read and write decimals to thousandths using base-ten numerals, number names, and expanded form, e.g., 347.392 = 3 × 100 + 4 × 10 + 7 × 1 + 3 × (1/10) + 9 × (1/100) + 2 × (1/1000)."
s1143699,"Compare two decimals to thousandths based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons."
s11434f1,"Use place value understanding to round decimals to any place."
s11434b9,"Perform operations with multi-digit whole numbers and with decimals to hundredths."
s11434f2,"Fluently multiply multi-digit whole numbers using the standard algorithm."
s11434f3,"Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models."
s11434f4,"Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used."
s114340c,"Measurement and Data"
s1143413,"Describe and compare measurable attributes."
s1143424,"Describe measurable attributes of objects, such as length or weight. Describe several measurable attributes of a single object."
s1143425,"Directly compare two objects with a measurable attribute in common, to see which object has ""more of""/""less of"" the attribute, and describe the difference."
s1143414,"Classify objects and count the number of objects in each category."
s1143426,"Classify objects into given categories; count the numbers of objects in each category and sort the categories by count."
s1143434,"Measure lengths indirectly and by iterating length units."
s1143446,"Order three objects by length; compare the lengths of two objects indirectly by using a third object."
s1143447,"Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps."
s1143435,"Tell and write time."
s1143448,"Tell and write time in hours and half-hours using analog and digital clocks."
s1143436,"Represent and interpret data."
s1143449,"Organize, represent, and interpret data with up to three categories; ask and answer questions about the total number of data points, how many in each category, and how many more or less are in one category than in another."
s2390250,"Represent and interpret data."
s1143468,"Generate measurement data by measuring lengths of several objects to the nearest whole unit, or by making repeated measurements of the same object. Show the measurements by making a line plot, where the horizontal scale is marked off in whole-number units."
s1143469,"Draw a picture graph and a bar graph (with single-unit scale) to represent a data set with up to four categories. Solve simple put-together, take-apart, and compare problems using information presented in a bar graph."
s2390251,"Represent and interpret data."
s1143488,"Draw a scaled picture graph and a scaled bar graph to represent a data set with several categories. Solve one- and two-step "how many more" and "how many less" problems using information presented in scaled bar graphs."
s1143489,"Generate measurement data by measuring lengths using rulers marked with halves and fourths of an inch. Show the data by making a line plot, where the horizontal scale is marked off in appropriate units— whole numbers, halves, or quarters."
s2390252,"Represent and interpret data."
s11434af,"Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Solve problems involving addition and subtraction of fractions by using information presented in line plots."
s2390253,"Represent and interpret data."
s11434fd,"Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Use operations on fractions for this grade to solve problems involving information presented in line plots."
s1143450,"Measure and estimate lengths in standard units."
s1143460,"Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks, and measuring tapes."
s1143461,"Measure the length of an object twice, using length units of different lengths for the two measurements; describe how the two measurements relate to the size of the unit chosen."
s1143462,"Estimate lengths using units of inches, feet, centimeters, and meters."
s1143463,"Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit."
s1143451,"Relate addition and subtraction to length."
s1143464,"Use addition and subtraction within 100 to solve word problems involving lengths that are given in the same units, e.g., by using drawings (such as drawings of rulers) and equations with a symbol for the unknown number to represent the problem."
s1143465,"Represent whole numbers as lengths from 0 on a number line diagram with equally spaced points corresponding to the numbers 0, 1, 2, ..., and represent whole-number sums and differences within 100 on a number line diagram."
s1143452,"Work with time and money."
s1143466,"Tell and write time from analog and digital clocks to the nearest five minutes, using a.m. and p.m."
s1143467,"Solve word problems involving dollar bills, quarters, dimes, nickels, and pennies, using $ and ¢ symbols appropriately."
s1143474,"Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects."
s1143486,"Tell and write time to the nearest minute and measure time intervals in minutes. Solve word problems involving addition and subtraction of time intervals in minutes, e.g., by representing the problem on a number line diagram."
s1143487,"Measure and estimate liquid volumes and masses of objects using standard units of grams (g), kilograms (kg), and liters (l). Add, subtract, multiply, or divide to solve one-step word problems involving masses or volumes that are given in the same units, e.g., by using drawings (such as a beaker with a measurement scale) to represent the problem."
s1143475,"Geometric measurement: understand concepts of area and relate area to multiplication and to addition."
s114348a,"Recognize area as an attribute of plane figures and understand concepts of area measurement."
s114369a,"A square with side length 1 unit, called ""a unit square,"" is said to have ""one square unit"" of area, and can be used to measure area."
s114369b,"A plane figure which can be covered without gaps or overlaps by n unit squares is said to have an area of n square units."
s114348b,"Measure areas by counting unit squares (square cm, square m, square in, square ft, and improvised units)."
s114348c,"Relate area to the operations of multiplication and addition."
s114369c,"Find the area of a rectangle with whole-number side lengths by tiling it, and show that the area is the same as would be found by multiplying the side lengths."
s114369d,"Multiply side lengths to find areas of rectangles with whole-number side lengths in the context of solving real world and mathematical problems, and represent whole-number products as rectangular areas in mathematical reasoning."
s114369e,"Use tiling to show in a concrete case that the area of a rectangle with whole-number side lengths a and b + c is the sum of a × b and a × c. Use area models to represent the distributive property in mathematical reasoning."
s114369f,"Recognize area as additive. Find areas of rectilinear figures by decomposing them into non-overlapping rectangles and adding the areas of the non-overlapping parts, applying this technique to solve real world problems."
s1143476,"Geometric measurement: recognize perimeter as an attribute of plane figures and distinguish between linear and area measures."
s114348d,"Solve real world and mathematical problems involving perimeters of polygons, including finding the perimeter given the side lengths, finding an unknown side length, and exhibiting rectangles with the same perimeter and different areas or with the same area and different perimeters."
s1143497,"Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit."
s11434ac,"Know relative sizes of measurement units within one system of units including km, m, cm; kg, g; lb, oz.; l, ml; hr, min, sec. Within a single system of measurement, express measurements in a larger unit in terms of a smaller unit. Record measurement equivalents in a two column table."
s11434ad,"Use the four operations to solve word problems involving distances, intervals of time, liquid volumes, masses of objects, and money, including problems involving simple fractions or decimals, and problems that require expressing measurements given in a larger unit in terms of a smaller unit. Represent measurement quantities using diagrams such as number line diagrams that feature a measurement scale."
s11434ae,"Apply the area and perimeter formulas for rectangles in real world and mathematical problems."
s1143498,"Geometric measurement: understand concepts of angle and measure angles."
s11434b0,"Recognize angles as geometric shapes that are formed wherever two rays share a common endpoint, and understand concepts of angle measurement:"
s2373205,"An angle is measured with reference to a circle with its center at the common endpoint of the rays, by considering the fraction of the circular arc between the points where the two rays intersect the circle. An angle that turns through 1/360 of a circle is called a ""one-degree angle,"" and can be used to measure angles."
s2373206,"An angle that turns through n one-degree angles is said to have an angle measure of n degrees."
s11434b1,"Measure angles in whole-number degrees using a protractor. Sketch angles of specified measure."
s11434b2,"Recognize angle measure as additive. When an angle is decomposed into non-overlapping parts, the angle measure of the whole is the sum of the angle measures of the parts. Solve addition and subtraction problems to find unknown angles on a diagram in real world and mathematical problems, e.g., by using an equation with a symbol for the unknown angle measure."
s11434bc,"Convert like measurement units within a given measurement system."
s11434fc,"Convert among different-sized standard measurement units within a given measurement system (e.g., convert 5 cm to 0.05 m), and use these conversions in solving multi-step, real world problems."
s11434bd,"Geometric measurement: understand concepts of volume and relate volume to multiplication and to addition."
s11434fe,"Recognize volume as an attribute of solid figures and understand concepts of volume measurement."
s11436a0,"A cube with side length 1 unit, called a ""unit cube,"" is said to have ""one cubic unit"" of volume, and can be used to measure volume."
s11436a1,"A solid figure which can be packed without gaps or overlaps using n unit cubes is said to have a volume of n cubic units."
s11434ff,"Measure volumes by counting unit cubes, using cubic cm, cubic in, cubic ft, and improvised units."
s1143500,"Relate volume to the operations of multiplication and addition and solve real world and mathematical problems involving volume."
s11436a2,"Find the volume of a right rectangular prism with whole-number side lengths by packing it with unit cubes, and show that the volume is the same as would be found by multiplying the edge lengths, equivalently by multiplying the height by the area of the base. Represent threefold whole-number products as volumes, e.g., to represent the associative property of multiplication."
s11436a3,"Apply the formulas V = l × w × h and V = b × h for rectangular prisms to find volumes of right rectangular prisms with whole-number edge lengths in the context of solving real world and mathematical problems."
s11436a4,"Recognize volume as additive. Find volumes of solid figures composed of two non-overlapping right rectangular prisms by adding the volumes of the non-overlapping parts, applying this technique to solve real world problems."
s114340d,"Geometry"
